songID|songName|songLyric|Author
52670|NỘI TÔI|Chiều về thăm quê thăm nội tóc đã bạc phơ…|Đình Văn
58196|TRẢ LẠI ANH|Nơi ta từng qua, quán quen ta từng ngồi Bao nhiêu buồn vui...|Khánh Đơn
52384|MÃI MÃI|Mong manh như là sương khói những tiếng yêu…|Hoài Phúc
55472|YÊU|Đôi tim hứa sẽ yêu thiết tha sẽ mãi không rời xa...|Phạm Khánh Hưng
55734|DÒNG THỜI GIAN|Từng ngày nào nồng nàn từng câu ca dao...|Nguyễn Hải Phong
53129|ĐÊM ĐỊNH MỆNH|Trong cơn say anh đến bên em, nghe chơi vơi điên đảo con tim...|Trương Lê Sơn
56261|ANH NHẬN RA|Có biết bao con đường mà sao ta vẫn đi con đường ấy…|Khắc Việt
55410|QUÊN|Bước thật chậm để quên một người đằng sau dĩ vãng...|Khắc Việt
57724|CÓ KHI NÀO RỜI XA|Biết đâu bất ngờ đôi ta chợt rời xa nhau, Ai còn đứng...|Tiên Cookie
57563|GỬI CHO ANH|Nhớ bao ngày mình còn chung trên con đường đi|Bảo Thạch
52973|CƠN MƯA TÌNH YÊU|Người yêu ơi cỏ mềm đã héo khô, mặt hồ lá xác xơ...|Mạnh Quân
57266|CẦN LẮM|Cần lắm ngay lúc này, cần khóc cho với đầy|Hoàng Rapper
58966|TRÓT YÊU|Có chút bối rối chạm tay nhau rồi Vì em mơ giấc qua...|Phan Lê Ái Phương
57544|EM KHÔNG QUAY VỀ|Kể từ khi người đi mùa đông càng rét thêm|Nguyễn Hoàng Tôn
54708|ĐÊM TẠ TỪ|Còn lại một đêm thôi rồi mai ta từ tạ...|Sơn Hạ
52814|TA|Ta say trong nỗi buồn, ta cười với niềm đau…|Quốc Dũng
50675|HỒN QUÊ|Em theo anh qua những cánh đồng…|Thanh Sơn
54992|HẠC GIẤY|Ở phương trời xa xôi, ngày tháng dần trôi vô tình...|Nguyễn Văn Chung
57448|ANH YÊU NGƯỜI KHÁC RỒI|Anh yêu người khác rồi, người ấy cũng như em rất tuyệt...|Khắc Việt
52843|VÌ ĐÓ LÀ EM|Không cần biết em là ai, không cần biết em từ đâu…|Diệu Hương
57586|LÒNG ĐAU TÌNH PHAI|Người quay lưng ra đi cho lòng đau tình phai|Tuấn Nguyễn
52300|TÔI LÀ AI EM LÀ AI|Đêm qua tôi nằm mơ thấy em, trong giấc mơ...|Lê Quang
57633|Ở PHƯƠNG ĐÓ HÃY THA THỨ CHO ANH|Màn đêm buông thật mau|Lâm Chấn Khang
52575|TRĂNG VỠ|Lòng em như trang giấy thơm trắng ngần…|Minh Vy
51062|NGẠI NGÙNG|Em đã biết cong môi từ chối...|Quốc Dũng
56259|ANH CÒN NỢ EM|Anh còn nợ em Công viên ghế đá Công viên ghế đá Lá đổ chiều...|Anh Bằng
54742|HÃY BUÔNG TAY EM|Cứ mãi giận hờn niềm tin đâu anh...|Nguyễn Văn Chung
56998|ĐIỀU EM LO SỢ|Anh, em muốn tìm ngày mai khi Mặt Trời lên...|Nguyễn Văn Chung
53398|CON ĐƯỜNG MƯA|Nếu ngày xưa bước đi nhanh qua con đường mưa...|Nguyễn Văn Chung
52676|SAO ANH RA ĐI|Còn lại gì hỡi anh lời yêu rời xa trái tim, tình mình…|Minh Vy
51540|NĂM ANH EM TRÊN MỘT CHIẾC XE TĂNG|Năm anh em trên một chiếc…|Doãn Nho
52769|CẠM BẪY TÌNH YÊU|Đừng tin vào lời ong bướm, đó là hố sâu...|Minh Khang
54191|CHƯA BAO GIỜ|Trong cơn mưa đêm, nhẹ như gió trôi qua không gian...|Việt Anh
50902|NỤ HỒNG MONG MANH|Anh đem trao cho em…|Nhạc Hoa
52573|TÓC HÁT|Dường như ai đó ngang qua lối về, gió cuốn tóc thề…|Võ Thiện Thanh
52438|VÌ SAO THẾ|Đến làm gì để rồi nay em ra đi, đến làm gì...|Phạm Hòa Khánh
57664|TÚY CA|Thà rót cho ta trăm nghìn chung rượu độc|Châu Kỳ
56008|CHÍNH LÀ ANH|Cứ mỗi sáng thức dậy, bên cạnh anh luôn có một vòng tay…|Khắc Việt
52007|CĂN NHÀ MỘNG ƯỚC|Chuyện tình ngày xưa anh với em yêu nhau…|Hoàng Phương
55338|HỜN TRÁCH CON ĐÒ|Cố gọi con đò nhưng con đò dường như chẳng nghe...|Phi Bằng
51870|ƯỚC GÌ|Em đã sống những đêm trời có ánh trăng chiếu vàng...|Võ Thiện Thanh
55380|MƯA|Chiều nay trên phố chợt có cơn mưa bay, giọt mưa vội vã nhẹ rơi…|Minh Vương
51923|HỎI VỢ NGOẠI THÀNH|Sẽ có một ngày nơi ngoại thành xa anh sẽ về thăm…|Giao Tiên
53418|GIẤC MƠ CHAPI|Ở nơi ấy tôi đã thấy trên ngọn núi cao, có hai người...|Trần Tiến
56009|CHO EM MỘT LẦN YÊU|Người bỗng đến bên em vào một hôm nắng xanh ngời...|Đức Trí
53390|CẦU VỒNG KHUYẾT|Ai đã yêu một lần, đều hạnh phúc với người mình yêu...|Minh Khang
55785|SUY NGHĨ TRONG ANH|Cứ qua thêm một ngày mới biết thế nào là yêu...|Khắc Việt
51487|CÂY CẦU DỪA|Đã lâu lắm rồi em về thăm lại chốn xưa ...|Hàn Châu
54938|CHUYỆN TÌNH KHÔNG DĨ VÃNG|Vàng cây lá bay, đôi tay ngây buồn mang suy tư về...|Tâm Anh
50789|NHỚ|Anh ơi em xin anh đừng có hỏi…|Lê Uyên
52121|XIN LỖI TÌNH YÊU|Anh nói sẽ đưa em đi suốt cuộc đời, mà sao không đưa được…|Minh Nhiên
50726|NỐI VÒNG TAY LỚN|Rừng núi dang tay…|Trịnh Công Sơn
57011|ĐỪNG LÀM ANH ĐAU|Đừng nhìn anh bằng ánh mắt xa lạ...|Chí Thành
55880|NẾU EM ĐƯỢC CHỌN LỰA|Nếu bây giờ được chọn lựa một lần nữa, thì chắc có lẽ…|Đức Trí
52989|ĐÊM TRĂNG TÌNH YÊU|Chiều một mình trên phố năm xưa...|Nguyễn Văn Chung
58628|YÊU XA|Sương đã ngủ Đọng lại trên phiến lá rất xanh Mà con tim...|Vũ Cát Tường
57087|LỜI NÓI NHÂN GIAN|Dù người ta hay nói em yêu tôi chẳng yêu thật lòng...|Trung Quân
52237|MƯA ĐÊM TỈNH NHỎ|Trời đổ mưa cho phố vắng mênh mông khơi lòng…|Hà Phương
55925|TÌNH LÀ GÌ|Chuyện tình bao ngày qua để lại vết thương khó phai nhòa…|Thái Thịnh
54163|BẢN TÌNH CA ĐẦU TIÊN|Ngày không em không lung linh nắng trên con đường...|Duy Khoa
